datetime,co2,temperature
2020-06-27T17:44:24.329991,540,31
2020-06-27T17:45:02.320399,539,31
2020-06-27T17:46:45.030466,566,31
2020-06-27T17:47:33.907197,567,31
2020-06-27T22:21:44.182565,-1,-1
2020-06-27T22:23:25.673252,-1,-1
2020-06-27T22:22:26.122368,-1,-1
2020-06-27T22:32:35.410705,-1,-1
2020-06-27T22:34:16.887842,-1,-1
2020-06-27T22:35:58.370827,-1,-1
2020-06-27T22:35:08.217942,410,29
2020-06-27T22:42:31.876693,1485,30
2020-06-27T22:44:14.750730,1401,31
2020-06-27T22:45:57.562636,1154,31
2020-06-27T22:47:40.353801,1078,31
2020-06-27T22:49:23.196584,983,32
2020-06-27T22:51:05.978895,906,31
2020-06-27T22:52:46.280147,872,32
2020-06-27T22:54:26.624352,847,32
2020-06-27T22:56:06.934550,833,32
2020-06-27T22:57:47.267246,821,32
2020-06-27T22:59:27.573241,809,32
2020-06-27T23:01:07.937452,798,32
2020-06-27T23:02:48.221658,778,32
2020-06-27T23:04:28.489364,757,32
2020-06-27T23:06:08.844299,745,32
2020-06-27T23:07:49.087686,737,32
2020-06-27T23:09:29.429558,729,32
2020-06-27T23:11:09.709445,727,32
2020-06-27T23:12:49.978510,726,32
2020-06-27T23:14:30.354612,723,32
2020-06-27T23:16:10.730528,719,31
2020-06-27T23:17:51.019071,720,32
2020-06-27T23:19:31.394258,717,32
2020-06-27T23:21:11.621066,711,32
2020-06-27T23:22:51.931608,712,32
2020-06-27T23:24:32.247189,707,32
2020-06-27T23:26:12.617727,701,32
2020-06-27T23:27:52.934496,694,31
2020-06-27T23:29:33.268397,690,32
2020-06-27T23:31:13.635682,682,31
2020-06-27T23:32:53.940749,675,31
2020-06-27T23:34:34.208077,675,31
2020-06-27T23:36:14.570868,673,31
2020-06-27T23:37:54.839904,668,31
2020-06-27T23:39:35.200681,661,31
2020-06-27T23:41:15.586630,653,31
2020-06-27T23:42:55.871992,641,31
2020-06-27T23:44:36.158404,638,31
2020-06-27T23:46:16.436538,632,31
2020-06-27T23:47:56.712391,626,31
2020-06-27T23:49:36.998199,624,31
2020-06-27T23:51:17.315957,625,31
2020-06-27T23:52:57.658016,624,31
2020-06-27T23:54:38.024811,628,31
2020-06-27T23:56:18.337206,634,31
2020-06-27T23:57:58.621058,636,31
2020-06-27T23:59:38.888290,643,31
2020-06-28T00:01:19.249378,650,31
2020-06-28T00:02:59.519425,655,31
2020-06-28T00:04:39.893225,655,31
2020-06-28T00:06:20.269080,659,31
2020-06-28T00:08:00.639177,653,31
2020-06-28T00:09:40.959207,653,31
2020-06-28T00:11:21.229797,647,31
2020-06-28T00:13:01.488322,648,31
2020-06-28T00:14:41.848499,649,31
2020-06-28T00:16:22.124496,652,31
2020-06-28T00:18:02.496631,655,31
2020-06-28T00:19:42.870229,659,31
